Name|Full Name|Sector|Sub Sector|Market|Website
M|MK RESTAURANT GROUP PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SETWB|www.mkrestaurant.com
MACO|MASTER AD PUBLIC COMPANY LIMITED|Services|Media & Publishing|sSET|www.masterad.com
MAJOR|MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED|Services|Media & Publishing|SET100 / SETCLMV / SETTHSI|www.majorcineplex.com
MAKRO|SIAM MAKRO PUBLIC COMPANY LIMITED|Services|Commerce|SET|www.siammakro.co.th
MBAX|MULTIBAX PUBLIC COMPANY LIMITED|Industrial|Industrial|mai|www.multibax.com
MST|MAYBANK SECURITIES (THAILAND) PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.maybank-ke.co.th
MC|MC GROUP PUBLIC COMPANY LIMITED|Services|Commerce|sSET|www.mcgroupnet.com
MCS|M.C.S.STEEL PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|sSET|www.mcssteel.com
MDX|M.D.X. PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET|www.mdx.co.th
MEGA|MEGA LIFESCIENCES PUBLIC COMPANY LIMITED|Services|Commerce|SET100 / SETCLMV / SETWB|www.megawecare.com
MFC|MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.mfcfund.com
MFEC|MFEC PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|sSET|www.mfec.co.th
MINT|MINOR INTERNATIONAL PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET50 / SETCLMV / SETTHSI / SETWB|www.minor.com
MSC|METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET|www.metrosystems.co.th
MTI|MUANG THAI INSURANCE PUBLIC COMPANY LIMITED|Financials|Insurance|sSET|www.muangthaiinsurance.com
MTC|MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET50 / SETTHSI|www.muangthaicap.com
NCH|N. C. HOUSING PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET|www.ncgroup.co.th
NER|NORTH EAST RUBBER PUBLIC COMPANY LIMITED|Agro & Food Industry|Agribusiness|sSET|www.nerubber.com
NNCL|NAVANAKORN PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET|www.navanakorn.co.th
NOBLE|NOBLE DEVELOPMENT PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET|www.noblehome.com
NRF|NR INSTANT PRODUCE PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|https://www.nrinstant.com/
NYT|NAMYONG TERMINAL PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|sSET / SETTHSI|www.namyongterminal.com
OISHI|OISHI GROUP PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.oishigroup.com
OR|PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV|www.pttor.com
ORI|ORIGIN PROPERTY PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET100 / SETHD / SETTHSI|www.origin.co.th
OSP|OSOTSPA PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET50 / SETCLMV / SETHD / SETTHSI / SETWB|www.osotspa.com
PAP|PACIFIC PIPE PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|sSET|www.pacificpipe.co.th
PB|PRESIDENT BAKERY PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.farmhouse.co.th
PCSGH|P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED|Industrials|Automotive|SET|www.pcsgh.com
PDG|PRODIGY PUBLIC COMPANY LIMITED|Industrial|Industrial|mai|www.prodigy.co.th
PDJ|PRANDA JEWELRY PUBLIC COMPANY LIMITED|Consumer Products|Fashion|SET|www.pranda.com
PERM|PERMSIN STEEL WORKS PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.permsin.com
PL|PHATRA LEASING PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.pl.co.th
PLANB|PLAN B MEDIA PUBLIC COMPANY LIMITED|Services|Media & Publishing|SET100 / SETTHSI|www.planbmedia.co.th
PLE|POWER LINE ENGINEERING PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|SET|www.ple.co.th
POPF|PRIME OFFICE LEASEHOLD PROPERTY FUND|Property & Construction|Property Fund & REITs|SET|www.scbam.com
PR9|PRARAM 9 HOSPITAL PUBLIC COMPANY LIMITED|Services|Health Care Services|sSET / SETTHSI|www.praram9.com
PREB|PRE-BUILT PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|SET|www.prebuilt.co.th
PRG|PRG CORPORATION PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.patumrice.co.th
PRM|PRIMA MARINE PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|sSET|www.primamarine.co.th
PSH|PRUKSA HOLDING PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SETTHSI|www.psh.co.th
PSL|PRECIOUS SHIPPING PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|SET|www.preciousshipping.com
PTG|PTG ENERGY PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET100 / SETHD / SETTHSI|www.ptgenergy.co.th
PTL|POLYPLEX (THAILAND) PUBLIC COMPANY LIMITED|Industrials|Packaging|SET|www.polyplexthailand.com
PTT|PTT PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETHD / SETTHSI|www.pttplc.com
PTTEP|PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETHD / SETTHSI|www.pttep.com
PTTGC|PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED|Industrials|Petrochemicals & Chemicals|SET50 / SETCLMV / SETTHSI|www.pttgcgroup.com
QH|QUALITY HOUSES PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET100 / SETHD|www.qh.co.th
RATCH|RATCH GROUP PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETHD / SETTHSI|www.ratch.co.th
RBF|R&B FOOD SUPPLY PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET100 / SETCLMV / SETWB|https://www.rbfoodsupply.co.th
RCL|REGIONAL CONTAINER LINES PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|SET100 / SETCLMV|www.rclgroup.com
RICHY|RICHY PLACE 2002 PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET|www.richy.co.th
RJH|RAJTHANEE HOSPITAL PUBLIC COMPANY LIMITED|Services|Health Care Services|sSET|www.rajthanee.com
ROJNA|ROJANA INDUSTRIAL PARK PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET|www.rojana.com
RPC|RPCG PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET|www.rpcthai.com
RS|RS PUBLIC COMPANY LIMITED|Services|Commerce|SET100 / SETTHSI|www.rs.co.th
RSP|RICH SPORT PUBLIC COMPANY LIMITED|Services|Commerce|SET|www.richsport.co.th
S|SINGHA ESTATE PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET / SETTHSI|www.singhaestate.co.th
S & J|S & J INTERNATIONAL ENTERPRISES PUBLIC COMPANY LIMITED|Consumer Products|Personal Products & Pharmaceuticals|SET|www.snjinter.com
S11|S 11 GROUP PUBLIC COMPANY LIMITED|Financials|Finance & Securities|sSET|www.sgroup.co.th
SABUY|SABUY TECHNOLOGY PUBLIC COMPANY LIMITED|Services|Commerce|SET|www.sabuytechnology.com
SAMTEL|SAMART TELCOMS PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|sSET|www.samtel.com
SAPPE|SAPPE PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|sSET|www.sappe.com
SAT|SOMBOON ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED|Industrials|Automotive|sSET / SETTHSI|www.satpcl.co.th
SAUCE|THAITHEPAROS PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.gmsauce.com
SAWAD|SRISAWAD CORPORATION PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET50|www.meebaanmeerod.com
SC|SC ASSET CORPORATION PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET / SETTHSI|www.scasset.com
SCB|THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED|Financials|Banking|SET50 / SETCLMV / SETTHSI|www.scb.co.th
SCC|THE SIAM CEMENT PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SET50 / SETCLMV / SETHD / SETTHSI|www.scg.com
SCCC|SIAM CITY CEMENT PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SETCLMV / SETTHSI|www.siamcitycement.com
SCGP|SCG PACKAGING PUBLIC COMPANY LIMITED|Industrials|Packaging|SET50 / SETCLMV / SETTHSI|www.scgpackaging.com
SENA|SENADEVELOPMENT PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET|www.sena.co.th
SF|SIAM FUTURE DEVELOPMENT PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET|www.siamfuture.com
SFLEX|STARFLEX PUBLIC COMPANY LIMITED|Industrials|Packaging|sSET|www.starflex.co.th
SGP|SIAMGAS AND PETROCHEMICALS PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET|www.siamgas.com
SHANG|SHANGRI-LA HOTEL PUBLIC COMPANY LIMITED|Services|Tourism & Leisure|SET|www.shangri-la.com
SINGER|SINGER THAILAND PUBLIC COMPANY LIMITED|Services|Commerce|SET100|www.singerthai.co.th
SIRI|SANSIRI PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET100 / SETHD / SETTHSI|www.sansiri.com
SIS|SIS DISTRIBUTION (THAILAND) PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|sSET|www.sisthai.com
SISB|SISB PUBLIC COMPANY LIMITED|Services|Professional Services|sSET|www.sisb.ac.th
SKN|S.KIJCHAI ENTERPRISE PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|sSET|www.skn.co.th
SKR|SIKARIN PUBLIC COMPANY LIMITED|Services|Health Care Services|SET|www.sikarin.com
SMART|SMART CONCRETE PUBLIC COMPANY LIMITED|Property & Construction|Property & Construction|mai|www.smartblock.co.th
SMPC|SAHAMITR PRESSURE CONTAINER PUBLIC COMPANY LIMITED|Industrials|Packaging|sSET|www.smpcplc.com
SMT|STARS MICROELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED|Technology|Electronic Components|sSET|www.starsmicro.com
SNC|SNC FORMER PUBLIC COMPANY LIMITED|Industrials|Industrial Materials & Machinery|sSET / SETTHSI|www.sncformer.com
SNP|S & P SYNDICATE PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.snpfood.com
SPALI|SUPALAI PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET100 / SETHD|www.supalai.com
SPC|SAHA PATHANAPIBUL PUBLIC COMPANY LIMITED|Services|Commerce|SET|www.sahapat.co.th
SPCG|SPCG PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET|www.spcg.co.th
SPG|THE SIAM PAN GROUP PUBLIC COMPANY LIMITED|Industrials|Automotive|SET|www.siampangroup.com
SPI|SAHA PATHANA INTER-HOLDING PUBLIC COMPANY LIMITED|Services|Commerce|SET|www.spi.co.th
SPRC|STAR PETROLEUM REFINING PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET100 / SETCLMV|www.sprc.co.th
SPRIME|S PRIME GROWTH LEASEHOLD REAL ESTATE INVESTMENT TRUST|Property & Construction|Property Fund & REITs|SET|No url
SQ|SAHAKOL EQUIPMENT PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|SET|www.sahakol.com
SRICHA|SRIRACHA CONSTRUCTION PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|sSET|www.sricha.com
SSP|SERMSANG POWER CORPORATION PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|sSET / SETCLMV|www.sermsang.com
SSSC|SIAM STEEL SERVICE CENTER PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.ssscth.com
STA|SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED|Agro & Food Industry|Agribusiness|SET100 / SETTHSI / SETWB|www.sritranggroup.com
STANLY|THAI STANLEY ELECTRIC PUBLIC COMPANY LIMITED|Industrials|Automotive|sSET|www.thaistanley.com
STARK|STARK CORPORATION PUBLIC COMPANY LIMITED|Industrials|Industrial Materials & Machinery|SET100 / SETCLMV|www.starkcorporation.com
STEC|SINO-THAI ENGINEERING AND CONSTRUCTION PUBLIC CO.,LTD.|Property & Construction|Construction Services|SET100|www.stecon.co.th
STGT|SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED|Consumer Products|Personal Products & Pharmaceuticals|SET50 / SETTHSI|www.sritranggloves.com
SUC|SAHA-UNION PUBLIC COMPANY LIMITED|Consumer Products|Fashion|SET|www.sahaunion.co.th
SUPER|SUPER ENERGY CORPORATION PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET100 / SETCLMV|www.supercorp.co.th
SUPEREIF|SUPER ENERGY POWER PLANT INFRASTRUCTURE FUND|Resources|Energy & Utilities|SET|www.supereif.com
SUSCO|SUSCO PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|sSET|www.susco.co.th
SVH|SAMITIVEJ PUBLIC COMPANY LIMITED|Services|Health Care Services|SET|www.samitivejhospitals.com
SVI|SVI PUBLIC COMPANY LIMITED|Technology|Electronic Components|SET|www.svi.co.th
SVOA|SVOA PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET|www.svoa.co.th
SYNEX|SYNNEX (THAILAND) PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET100 / SETTHSI|www.synnex.co.th
TACC|T.A.C. CONSUMER PUBLIC COMPANY LIMITED|Agro & Food Industry|Agro & Food Industry|mai|www.tacconsumer.com
TASCO|TIPCO ASPHALT PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SET100 / SETCLMV / SETHD / SETTHSI|www.tipcoasphalt.com
TCAP|THANACHART CAPITAL PUBLIC COMPANY LIMITED|Financials|Banking|SET100 / SETHD|www.thanachart.co.th
TCCC|THAI CENTRAL CHEMICAL PUBLIC COMPANY LIMITED|Industrials|Petrochemicals & Chemicals|SET|www.tcccthai.com
TFFIF|THAILAND FUTURE FUND|Services|Transportation & Logistics|SET|www.tffif.com
TFG|THAIFOODS GROUP PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.tfg.co.th
TFMAMA|THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.mama.co.th
THANI|RATCHTHANI LEASING PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET100 / SETHD / SETTHSI|www.ratchthani.com
THE|THE STEEL PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.thesteel.co.th
THG|THONBURI HEALTHCARE GROUP PUBLIC COMPANY LIMITED|Services|Health Care Services|SETCLMV / SETWB|www.thg.co.th/
THREL|THAIRE LIFE ASSURANCE PUBLIC COMPANY LIMITED|Financials|Insurance|SET|www.thairelife.co.th
TIDLOR|NGERN TID LOR PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET50|www.ngerntidlor.com/th/home.html
TIPH|DHIPAYA GROUP HOLDINGS PUBLIC COMPANY LIMITED|Financials|Insurance|SET|www.dhipayagroup.co.th
TIPCO|TIPCO FOODS PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|sSET|www.tipco.net
TISCO|TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED|Financials|Banking|SET50 / SETHD / SETTHSI|www.tisco.co.th
TK|THITIKORN PUBLIC COMPANY LIMITED|Financials|Finance & Securities|sSET|www.tk.co.th
TKN|TAOKAENOI FOOD & MARKETING PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|sSET|www.taokaenoi.co.th
TKS|T.K.S. TECHNOLOGIES PUBLIC COMPANY LIMITED|Services|Media & Publishing|sSET|www.tks.co.th
TMT|TMT STEEL PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|sSET / SETTHSI|www.tmtsteel.co.th
TMW|THAI MITSUWA PUBLIC COMPANY LIMITED|Industrial|Industrial|mai|www.thaimitsuwa.com
TNITY|TRINITY WATTHANA PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.trinitythai.com
TNPC|THAI NAM PLASTIC PUBLIC COMPANY LIMITED|Industrials|Automotive|SET|www.thainam.com
TNR|THAI NIPPON RUBBER INDUSTRY PUBLIC COMPANY LIMITED|Consumer Products|Personal Products & Pharmaceuticals|sSET|www.tnrcondom.com
TOA|TOA PAINT (THAILAND) PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SETTHSI|www.toagroup.com
TOG|THAI OPTICAL GROUP PUBLIC COMPANY LIMITED|Consumer Products|Personal Products & Pharmaceuticals|sSET|www.thaiopticalgroup.com
TOP|THAI OIL PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETTHSI|www.thaioilgroup.com
TPIPL|TPI POLENE PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SET|www.tpipolene.co.th
TPIPP|TPI POLENE POWER PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET|www.tpipolenepower.co.th
TQM|TQM CORPORATION PUBLIC COMPANY LIMITED|Financials|Insurance|SET100 / SETTHSI|www.tqmcorp.co.th
TQR|TQR PUBLIC COMPANY LIMITED|Financials|Financials|mai|https://www.tqr.co.th
TR|THAI RAYON PUBLIC COMPANY LIMITED|Consumer Products|Fashion|SET|www.thairayon.com
TRUE|TRUE CORPORATION PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET50 / SETTHSI|www.truecorp.co.th
TSE|THAI SOLAR ENERGY PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|sSET|www.thaisolarenergy.com
TSTH|TATA STEEL (THAILAND) PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|sSET / SETCLMV / SETTHSI|www.tatasteelthailand.com
TTA|THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|SET100 / SETWB|www.thoresen.com
TTB|TMBTHANACHART BANK PUBLIC COMPANY LIMITED|Financials|Banking|SET50 / SETHD / SETTHSI|https://www.ttbbank.com
TTCL|TTCL PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|SET|www.ttcl.com
TTLPF|TALAAD THAI LEASEHOLD PROPERTY FUND|Property & Construction|Property Fund & REITs|SET|
TTW|TTW PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SETTHSI|www.ttwplc.com
TU|THAI UNION GROUP PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET50 / SETCLMV / SETHD / SETTHSI / SETWB|thaiunion.com
TVI|THAIVIVAT INSURANCE PUBLIC COMPANY LIMITED|Financials|Insurance|SET|www.thaivivat.co.th
TVO|THAI VEGETABLE OIL PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET100 / SETHD / SETTHSI / SETWB|www.tvothai.com
TYCN|TYCOONS WORLDWIDE GROUP (THAILAND) PUBLIC CO.,LTD.|Industrials|Steel and Metal Products|SET|www.tycons.com
U|U CITY PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET|www.ucity.co.th
UAC|UAC GLOBAL PUBLIC COMPANY LIMITED|Industrials|Petrochemicals & Chemicals|sSET|www.uac.co.th
UPOIC|UNITED PALM OIL INDUSTRY PUBLIC COMPANY LIMITED|Agro & Food Industry|Agribusiness|SET|www.upoic.co.th
UTP|UNITED PAPER PUBLIC COMPANY LIMITED|Industrials|Paper & Printing Materials|sSET / SETCLMV|www.unitedpaper.co.th
UVAN|UNIVANICH PALM OIL PUBLIC COMPANY LIMITED|Agro & Food Industry|Agribusiness|sSET|www.univanich.com
VGI|VGI PUBLIC COMPANY LIMITED|Services|Media & Publishing|SET100 / SETTHSI|www.vgi.co.th
VIBHA|VIBHAVADI MEDICAL CENTER PUBLIC COMPANY LIMITED|Services|Health Care Services|SETWB|www.vibhavadi.com
VIH|SRIVICHAIVEJVIVAT PUBLIC COMPANY LIMITED|Services|Health Care Services|sSET|www.vichaivej.com
VNG|VANACHAI GROUP PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|sSET / SETCLMV|www.vanachai.com
VNT|VINYTHAI PUBLIC COMPANY LIMITED|Industrials|Petrochemicals & Chemicals|SET|www.vinythai.co.th
WACOAL|THAI WACOAL PUBLIC COMPANY LIMITED|Consumer Products|Fashion|SET|www.wacoal.co.th
WHA|WHA CORPORATION PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET100 / SETHD / SETTHSI|www.wha.co.th
WHART|WHA PREMIUM GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST|Property & Construction|Property Fund & REITs|SET|www.whareit.com
WHAUP|WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|sSET / SETTHSI|www.wha-up.com
WICE|WICE LOGISTICS PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|sSET|www.wice.co.th
WIIK|WIIK PUBLIC COMPANY LIMITED|Property & Construction|Construction Materials|SET|www.wiik.co.th
WORK|WORKPOINT ENTERTAINMENT PUBLIC COMPANY LIMITED|Services|Media & Publishing|SET|www.workpoint.co.th
YUASA|YUASA BATTERY (THAILAND) PUBLIC COMPANY LIMITED|Industrial|Industrial|mai|www.yuasathai.com
